	English	Japanese (日本語)	Vietnam	Portuguese	Russian	Spanish	French	German	Turkish	Korean	Chinese Simplified	Chinese Traditional
//Màn hình login												
1001	Tap Tap Reborn	音楽挑戦	Nhạc Rất Là Vui	Tap Tap Reborn	Tap Tap Reborn	Tap Tap Reborn	Tap Tap Reborn		Tap Tap Reborn			
1002	Music Beyond Listening	音楽	Đỉnh rất là cao âm nhạc	Música além de ouvir	Музыка без прослушивания	Música más allá de la escucha	Musique Au-delà de l'écoute	Hörende Musik Jenseits	Dinlemenin ötesinde müzik			
1003	We’ll never post anything without your permission	私たちはあなたの許可なしに何かを投稿することは決してないだろう	YOLO	Não iremos postar nada sem sua autorização	Мы никогда ничего не опубликуем без вашего разрешения	Nunca publicaremos nada sin su permiso.	Rien de sera publié sans votre accord	Wir werden nie etwas ohne deine Erlaubnis posten	İzniniz olmadan hiç bir şey paylaşmayacağız.			
1004	Continue as Guest	ゲストとして続行	Lơ đi và tiếp tục	Continuar como convidado	Продолжить как гость	Continua como invitado.	Continuer en tant qu'invité	Als Gast fortfahren	Ziyaretçi olarak devam et			
1005	Login with Facebook to have the best experience	最高の経験を持っているFacebookの\ nでログイン	Đăng nhập Facebook và trải nghiệm	Faça login com o Facebook para ter a melhor experiência	Войдите через Facebook для самой комфортной игры	Inicia sesión con Facebook para tener la mejor experiencia.	Connectez-vous avec Facebook pour la meilleure expérience	Mit Facebook anmelden um das beste Spielerlebnis zu erleben 	En iyi oyun deneyimi için Facebook'la kaydol.			
1006	This account was used before. Do you want to restore the data?	この のアカウントが以前に使用しました。あなたはデータを復元したいですか？	Tài khoản đã tồn tại. Tải dữ liệu về nhé	Esta conta do já foi usada. Você quer restaurar os dados?	Этот профиль уже использовался. Хотите восстановить данные?	Esta cuenta de se utilizó antes. ¿Desea restaurar los datos?	Ce compte a déjà été utilisé. Voulez-vous récupérer les données?	Dieser Account wurde schon einmal verwendet. Wollen sie ihre Daten wiederherstellen?	Bu Facebook hesabında daha önceden oynanmış. Hesap üzerindeki bilgilerle oynamak istermisiniz?			
1007	No, keep the current data	いいえ、現在のデータを保持	Thôi, không cần đâu	Não, manter os dados atuais	Нет, сохранить текущие данные	No, mantener los datos actuales.	Non, je veux garder les données actuelles	Nein, behalte die aktuellen Daten.	Hayır, şimdiki hesapta kal.			
1008	This account was used before. Do you want to restore its data?	このアカウントは以前使用されていました。 データを復元しますか？	Thôi chết, tài khoản này đã từng được dùng rồi. Bạn có muốn khôi phục dữ liệu không?	Esta conta foi usada antes. Deseja restaurar seus dados?	Этот профиль уже использовался. Хотите восстановить его данные?	Esta cuenta se utilizó antes. ¿Desea restaurar sus datos?	Ce compte a déjà été utilisé. Voulez-vous récupérer les données?	Dieser Account wurde schon einmal verwendet. Wollen sie ihre Daten wiederherstellen?	Bu kullanıcıda daha önceden oynanmış. Kullanıcının oyununa devam etmek istiyor musunuz?			
1009	Restore	リストア	Hồi phục	Restaurar	Восстановить	Restaurar.	Récupérer	Wiederherstellen	Evet			
1010	No, keep it the same	いいえ、同じままにしてください	Không hồi phục	Não, manter os mesmos	Нет, оставить без изменений	 No, manténerlo igual.	Non, je veux garder les données actuelles	Nein, behalte die Daten.	Hayır			
1011	Login with Facebook	Login with Facebook\n to have the best experience (Facebook でログインします)	Đăng nhập bằng Facebook	Entrar com o Facebook	Войти через Facebook	 Iniciar sesión con Facebook.	Se connecter avec Facebook	Login mit Facebook	Facebook ile Giriş Yap			
1012	Sign in with Google	Sign in with Google	Đăng nhập bằng Google	Faça login no Google	Войти через Google	Inicia sesión con Google.	Connectez-vous avec Google	Anmeldung mit Google	Google ile oturum aç			
//Menu												
2001	Play	スタート	Chơi nào	Toque	Играть	Jugar.	Jouer	Spielen	Oyna			
2002	Shop	ストアー	Cửa hàng	Loja	Магазин	Tienda.	Boutique	Geschäft	Mağaza			
2003	Leaderboard	Leaderboard	Bảng xếp hạng	Entre os melhores	Таблица лидеров	Cartelera superior.	Classement	Rangliste	En İyiler			
